id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
12999,"1A Travessa Eduardo Henrique - Curado IV, Jaboatão dos Guararapes - PE, Brasil",Nordeste,Pernambuco,Jaboatão dos Guararapes,CURADO,CURADO IV,,-8.0731016000,-35.0011938000,"08/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,a94c08f1-5936-49af-8ed4-e222e79c5381,People,dead,,"08/04/2018, 21:00:00",Civilian,25,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
12964,"R. Jequié - Jardim Brasil 2, Olinda - PE, Brasil",Nordeste,Pernambuco,Olinda,JARDIM BRASIL,,,-8.0028694000,-34.8739241000,"08/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,4e25f07b-00a0-4467-bf2d-d8bb9ba776a0,People,dead,,"08/04/2018, 21:00:00",Civilian,28,adulto,homem cis,Não identificado,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13001,"Sítio dos Marcos, Igarassu - PE, Brasil",Nordeste,Pernambuco,Igarassu,SITIO DOS MARCOS,,,-7.8144297000,-34.8973199000,"08/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,0ed206c1-0558-4b97-abfc-f2e93903636d,People,dead,,"08/04/2018, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
12963,"Rua Córrego do Bartolomeu, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,MORRO DA CONCEICAO,,,-8.0215845000,-34.9116306000,"09/04/2018, 00:00:00",false,false,,Homicidio/Tentativa,,,false,ec700c9a-a40e-4ccd-b9ce-b37197f6e5c7,People,dead,,"09/04/2018, 00:00:00",Civilian,23,adulto,homem cis,Não identificado,automóvel,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13000,"R. Santa Rosa - San Martin, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,SAN MARTIN,,,-8.0740918000,-34.9261064000,"09/04/2018, 14:00:00",false,false,,Homicidio/Tentativa,,,false,009874c1-6b40-420c-8499-975fc09c7b25,People,dead,,"09/04/2018, 14:00:00",Civilian,28,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13032,"Rua José Francisco Lins - Janga, Paulista - PE, Brasil",Nordeste,Pernambuco,Paulista,JANGA,,,-7.9219676000,-34.8277929000,"09/04/2018, 21:00:00",false,true,,Tentativa/Roubo,,,false,4e219a9d-8639-421c-8e33-12ff85f8388c,People,wounded,,"31/12/1899, 20:53:32",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13032,"Rua José Francisco Lins - Janga, Paulista - PE, Brasil",Nordeste,Pernambuco,Paulista,JANGA,,,-7.9219676000,-34.8277929000,"09/04/2018, 21:00:00",false,true,,Tentativa/Roubo,,,false,4f1f1a3e-f713-4ed0-8fcb-d537d97afa5a,People,dead,,"09/04/2018, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13049,"Peixinhos, Olinda - PE, 52171-011, Brasil",Nordeste,Pernambuco,Olinda,PEIXINHOS,,,-8.0156350000,-34.8790770000,"09/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,e06d0538-bc65-4900-9420-d51aa97d75c3,People,dead,,"09/04/2018, 21:00:00",Civilian,43,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13050,"Av. Ver. Otacílio Azevedo - Nova Descoberta, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,BREJO DE BEBERIBE,,,-7.9985520000,-34.9244982000,"09/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,fc65f272-8c7e-401a-a6bf-c46f2ad586e4,People,wounded,,"31/12/1899, 20:53:32",Civilian,18,adulto,homem cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
13050,"Av. Ver. Otacílio Azevedo - Nova Descoberta, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,BREJO DE BEBERIBE,,,-7.9985520000,-34.9244982000,"09/04/2018, 21:00:00",false,false,,Homicidio/Tentativa,,,false,aaf5a8d9-6b86-4ba7-951b-4ba3cc9117cd,People,wounded,,"31/12/1899, 20:53:32",Civilian,,adulto,mulher cis,Não identificado,sem identificação,não se aplica,,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
